epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,8951.96,0.94649,1.32944,0.91149,1.28899,0.65701,0.56039,0.64302,0.50445,0.65298,0.56006,0.64191,0.52524,1.12373,1.36137,1.07442,1.08416,0.000171237,0.000171237,0.000171237
72,9078.01,0.93321,1.27946,0.88963,1.25404,0.68874,0.56574,0.65535,0.51279,0.68874,0.56574,0.65681,0.51027,1.11824,1.38031,0.94768,1.08955,0.000161289,0.000161289,0.000161289
73,9201.19,0.90906,1.25941,0.86734,1.25498,0.57153,0.62161,0.6326,0.49716,0.5684,0.62413,0.63115,0.50591,1.12967,1.31904,1.05701,1.1008,0.00015158,0.00015158,0.00015158
74,9325.34,0.90695,1.20673,0.83157,1.24455,0.66874,0.575,0.63842,0.50149,0.67288,0.5787,0.63875,0.5131,1.10547,1.32322,0.97908,1.08745,0.000142121,0.000142121,0.000142121
75,9448.26,0.92435,1.28201,0.8385,1.2589,0.63911,0.60369,0.64449,0.50352,0.63911,0.60369,0.64311,0.51249,1.13103,1.31513,1.04099,1.12129,0.000132919,0.000132919,0.000132919
76,9572.25,0.89851,1.27884,0.86904,1.23966,0.63501,0.61913,0.64156,0.49709,0.63468,0.62756,0.64059,0.50875,1.11231,1.32656,1.00249,1.09271,0.000123986,0.000123986,0.000123986
77,9695.27,0.89855,1.2367,0.82398,1.2394,0.62752,0.61853,0.63841,0.49627,0.6262,0.62105,0.63842,0.50642,1.11041,1.36933,1.0333,1.07995,0.000115328,0.000115328,0.000115328
78,9819.7,0.87366,1.21689,0.79514,1.20746,0.62895,0.625,0.64319,0.50145,0.62895,0.625,0.64331,0.51931,1.13376,1.29912,1.01195,1.11804,0.000106956,0.000106956,0.000106956
79,9943.27,0.88249,1.20105,0.8006,1.21694,0.70036,0.56162,0.64649,0.50734,0.69774,0.56004,0.64543,0.52631,1.08085,1.30619,0.89808,1.05063,9.88768e-05,9.88768e-05,9.88768e-05
80,10069.4,0.88438,1.21411,0.83079,1.21129,0.6527,0.61,0.63375,0.49306,0.64524,0.60833,0.63404,0.511,1.10881,1.27487,1.02119,1.08669,9.10986e-05,9.10986e-05,9.10986e-05
81,10192.6,0.88555,1.19174,0.81516,1.22054,0.6385,0.63389,0.63994,0.51148,0.63924,0.63611,0.63875,0.51856,1.11108,1.29104,0.92281,1.07553,8.36293e-05,8.36293e-05,8.36293e-05
82,10319.3,0.85976,1.17644,0.78161,1.22067,0.62666,0.625,0.62649,0.50628,0.63055,0.62685,0.62864,0.5126,1.09644,1.2507,0.93124,1.05336,7.64761e-05,7.64761e-05,7.64761e-05
83,10442.3,0.89428,1.18343,0.76781,1.21806,0.64504,0.63179,0.6392,0.52203,0.64624,0.63141,0.64063,0.51941,1.07026,1.26642,0.89477,1.03008,6.96461e-05,6.96461e-05,6.96461e-05
84,10569.1,0.86458,1.1715,0.76847,1.19819,0.62993,0.62949,0.63256,0.50869,0.6271,0.62814,0.63038,0.51243,1.07673,1.24862,0.89833,1.04233,6.31462e-05,6.31462e-05,6.31462e-05
85,10692.5,0.86981,1.18798,0.76507,1.19505,0.6023,0.62321,0.61493,0.49083,0.60015,0.62136,0.61281,0.49332,1.10576,1.29403,1.01583,1.09309,5.69826e-05,5.69826e-05,5.69826e-05
86,10816.6,0.85892,1.14281,0.76347,1.17679,0.60802,0.62346,0.62159,0.49673,0.60802,0.62346,0.62034,0.5026,1.09739,1.27154,0.95655,1.07366,5.11614e-05,5.11614e-05,5.11614e-05
