epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,3384.64,0.73353,0.8548,0.59236,1.1006,0.90643,0.85476,0.93525,0.71636,0.90643,0.85476,0.93865,0.77693,0.99194,0.7481,0.6655,0.84879,0.00029352,0.00029352,0.00029352
61,3495.36,0.68322,0.54126,0.52435,1.03722,0.89252,0.88235,0.91768,0.73743,0.89252,0.88235,0.93171,0.77517,0.91784,0.72555,0.64484,0.78137,0.000281629,0.000281629,0.000281629
62,3583.55,0.6938,0.51282,0.47971,0.98675,0.87753,0.91176,0.93337,0.71812,0.87753,0.91176,0.94133,0.78312,1.0099,0.74562,0.64403,0.87002,0.00026986,0.00026986,0.00026986
63,3663.03,0.66963,0.50983,0.47627,1.00307,0.88881,0.88235,0.93502,0.72888,0.88881,0.88235,0.94167,0.79129,0.92958,0.68666,0.6366,0.7987,0.000258223,0.000258223,0.000258223
64,3747.14,0.67803,0.46693,0.46479,0.98438,0.91364,0.86765,0.9421,0.74646,0.91364,0.86765,0.94918,0.80343,0.89501,0.66043,0.59986,0.76564,0.000246729,0.000246729,0.000246729
65,3829.62,0.67137,0.46848,0.47425,0.96856,0.93591,0.85912,0.94186,0.74855,0.93591,0.85912,0.94153,0.80752,0.91985,0.64349,0.5886,0.80825,0.000235391,0.000235391,0.000235391
66,3913.74,0.65237,0.4359,0.47161,0.96523,0.94462,0.83824,0.93807,0.73612,0.94462,0.83824,0.93807,0.78278,0.89221,0.66387,0.59427,0.75863,0.00022422,0.00022422,0.00022422
67,3993.27,0.65996,0.4581,0.45595,0.95045,0.90963,0.88822,0.95051,0.74599,0.90963,0.88822,0.95051,0.79753,0.88318,0.63041,0.59623,0.76209,0.000213226,0.000213226,0.000213226
68,4071.23,0.65527,0.44343,0.45655,0.96014,0.88493,0.92647,0.95195,0.74844,0.88493,0.92647,0.95388,0.79359,0.87469,0.65506,0.59969,0.76207,0.00020242,0.00020242,0.00020242
69,4153.16,0.63888,0.44952,0.44921,0.93755,0.93778,0.88658,0.94926,0.76862,0.93778,0.88658,0.94678,0.79901,0.87221,0.67623,0.583,0.74754,0.000191813,0.000191813,0.000191813
70,4228.36,0.65393,0.45103,0.44596,0.93304,0.94966,0.85294,0.94464,0.76387,0.94966,0.85294,0.94741,0.79224,0.85404,0.6848,0.62414,0.75188,0.000181415,0.000181415,0.000181415
71,4294.82,0.64376,0.42275,0.45365,0.92726,0.95067,0.85028,0.94439,0.76148,0.95067,0.85028,0.94979,0.80802,0.90072,0.70132,0.60941,0.83368,0.000171237,0.000171237,0.000171237
72,4352.85,0.63839,0.41885,0.42823,0.94308,0.95126,0.86114,0.95183,0.77165,0.95126,0.86114,0.95725,0.81036,0.89743,0.70176,0.55622,0.8086,0.000161289,0.000161289,0.000161289
73,4406.66,0.65416,0.42356,0.44635,0.94471,0.88831,0.93577,0.95714,0.76729,0.88831,0.93577,0.96371,0.81662,0.8643,0.67443,0.5289,0.73547,0.00015158,0.00015158,0.00015158
74,4461.55,0.62028,0.41171,0.4212,0.91339,0.8818,0.94118,0.95791,0.76811,0.8818,0.94118,0.9589,0.82073,0.88165,0.63136,0.56109,0.77884,0.000142121,0.000142121,0.000142121
75,4514.55,0.61296,0.37134,0.42123,0.93831,0.94095,0.93731,0.96232,0.76913,0.94095,0.93731,0.96343,0.82407,0.86604,0.61038,0.54913,0.74317,0.000132919,0.000132919,0.000132919
76,4569.51,0.61469,0.38244,0.41266,0.91997,0.92736,0.93877,0.9593,0.79338,0.92736,0.93877,0.9628,0.82282,0.84316,0.60353,0.52827,0.71102,0.000123986,0.000123986,0.000123986
77,4651.11,0.60065,0.3638,0.41741,0.90428,0.89958,0.92216,0.95312,0.77444,0.89958,0.92216,0.95661,0.81378,0.84697,0.61384,0.53322,0.72023,0.000115328,0.000115328,0.000115328
78,4733.9,0.58077,0.37519,0.3928,0.89164,0.88528,0.90794,0.94536,0.76825,0.96262,0.83824,0.95502,0.8069,0.87499,0.6386,0.58815,0.73944,0.000106956,0.000106956,0.000106956
79,4814.94,0.61162,0.36764,0.40859,0.89578,0.92188,0.88235,0.95032,0.76822,0.92188,0.88235,0.95639,0.81632,0.87616,0.64063,0.58828,0.74629,9.88768e-05,9.88768e-05,9.88768e-05
80,4898.31,0.58871,0.37149,0.39918,0.89097,0.90962,0.88812,0.9539,0.78317,0.94802,0.86765,0.9601,0.82492,0.85944,0.66575,0.54851,0.73238,9.10986e-05,9.10986e-05,9.10986e-05
81,4979.77,0.59849,0.35702,0.3836,0.88757,0.88788,0.93172,0.95296,0.78978,0.96011,0.86765,0.95663,0.82894,0.84588,0.64451,0.5427,0.73054,8.36293e-05,8.36293e-05,8.36293e-05
82,5067.31,0.57657,0.35859,0.40342,0.9109,0.88837,0.93631,0.94622,0.79295,0.88837,0.93631,0.95378,0.83433,0.839,0.64696,0.55682,0.71511,7.64761e-05,7.64761e-05,7.64761e-05
83,5140.25,0.58082,0.35511,0.38982,0.87034,0.9387,0.90083,0.9581,0.79494,0.9387,0.90083,0.96069,0.84095,0.84253,0.6347,0.55031,0.73201,6.96461e-05,6.96461e-05,6.96461e-05
84,5198.24,0.5734,0.35899,0.3837,0.88133,0.95332,0.90094,0.9482,0.78578,0.95332,0.90094,0.96095,0.84406,0.85298,0.61432,0.53726,0.73442,6.31462e-05,6.31462e-05,6.31462e-05
85,5252.88,0.59056,0.34606,0.40832,0.88765,0.9522,0.87897,0.95374,0.79443,0.9522,0.87897,0.95926,0.83589,0.83753,0.61641,0.52473,0.70434,5.69826e-05,5.69826e-05,5.69826e-05
86,5308.55,0.58394,0.37904,0.38765,0.87145,0.93839,0.89599,0.96097,0.79633,0.93839,0.89599,0.96098,0.8321,0.82691,0.59354,0.54529,0.70298,5.11614e-05,5.11614e-05,5.11614e-05
87,5362.68,0.55577,0.36051,0.38782,0.87731,0.92464,0.90226,0.9624,0.79951,0.92464,0.90226,0.96259,0.83459,0.83455,0.61061,0.53851,0.72656,4.56885e-05,4.56885e-05,4.56885e-05
88,5418.4,0.57543,0.37463,0.4031,0.85059,0.9257,0.91176,0.96231,0.79589,0.9257,0.91176,0.96229,0.83611,0.83417,0.60839,0.52022,0.7401,4.05692e-05,4.05692e-05,4.05692e-05
89,5472.54,0.55483,0.33847,0.36577,0.86992,0.92872,0.91176,0.96444,0.7943,0.9393,0.89706,0.96391,0.83733,0.81702,0.60613,0.50398,0.71115,3.58085e-05,3.58085e-05,3.58085e-05
90,5527.93,0.54245,0.32724,0.36392,0.87003,0.91852,0.91176,0.9624,0.79711,0.91852,0.91176,0.96216,0.83215,0.79366,0.60583,0.50044,0.6708,3.14112e-05,3.14112e-05,3.14112e-05
91,5582.35,0.5411,0.3329,0.38107,0.87712,0.92176,0.91176,0.96437,0.80189,0.92176,0.91176,0.96287,0.83738,0.79237,0.60414,0.50135,0.67365,2.73816e-05,2.73816e-05,2.73816e-05
92,5643.22,0.54689,0.3185,0.35793,0.85039,0.92085,0.91176,0.96734,0.80503,0.92631,0.92426,0.96677,0.83614,0.79676,0.60387,0.50674,0.68206,2.37237e-05,2.37237e-05,2.37237e-05
93,5699.84,0.538,0.32088,0.36845,0.8514,0.95289,0.89233,0.96789,0.80685,0.91352,0.93216,0.96435,0.83776,0.79881,0.60461,0.50007,0.69011,2.04411e-05,2.04411e-05,2.04411e-05
94,5757.53,0.52669,0.29973,0.36393,0.86627,0.9529,0.89266,0.96839,0.80446,0.93666,0.91176,0.96261,0.83765,0.79483,0.59635,0.4997,0.69294,1.7537e-05,1.7537e-05,1.7537e-05
95,5811.39,0.53134,0.32471,0.35649,0.86387,0.9507,0.88235,0.96858,0.80426,0.92567,0.91574,0.96715,0.83985,0.79539,0.58851,0.50125,0.69039,1.50142e-05,1.50142e-05,1.50142e-05
96,5866.56,0.54439,0.31693,0.35892,0.84472,0.95234,0.88151,0.96847,0.80354,0.95234,0.88151,0.9617,0.83916,0.80392,0.58057,0.50516,0.69577,1.28754e-05,1.28754e-05,1.28754e-05
97,5920.26,0.55312,0.33978,0.37917,0.86104,0.9369,0.89706,0.97004,0.80547,0.89032,0.95588,0.968,0.84343,0.80641,0.5693,0.49974,0.69225,1.11226e-05,1.11226e-05,1.11226e-05
98,5977.73,0.54856,0.31748,0.36211,0.86815,0.94049,0.88235,0.96821,0.80435,0.94049,0.88235,0.96951,0.84211,0.80006,0.57215,0.50354,0.68115,9.75746e-06,9.75746e-06,9.75746e-06
99,6032.44,0.56777,0.3492,0.3644,0.84511,0.95062,0.88235,0.96786,0.80572,0.95062,0.88235,0.96698,0.84545,0.79639,0.56506,0.49558,0.68035,8.78142e-06,8.78142e-06,8.78142e-06
100,6090.87,0.55425,0.32427,0.36805,0.84547,0.95293,0.89315,0.96956,0.8057,0.95293,0.89315,0.96793,0.84552,0.80133,0.56626,0.50473,0.68553,8.1954e-06,8.1954e-06,8.1954e-06
